title,ranking,year,duration,genre,rating,directors,votes
 Cartoon Cartoon Fridays,"7,583.",(2000–2006),Desconhecido,,8.4,,12.0
 Cash and Company,"4,682.",(1975),49 min,"Action, Drama, Western",,,0.0
 Celebrity Deathmatch,"4,695.",(1998–2007),21 min,"Animation, Action, Comedy",6.800000000000002,"Eric Fogel,Greg Pair,Sue Perrotto,Maurice Schlafer,Len Maxwell,Becca Lish,Mills Lane",520.0
 Centraal station,"4,712.",(1974–1979),Desconhecido,,,,0.0
 Charlie's Angels,"4,794.",(1976–1981),50 min,"Action, Adventure, Crime",7.15566037735849,,21890.0
 Chillers,243.,(1990),53 min,"Action, Drama, Horror",6.022222222222222,"Roger Andrieux,Mai Zetterling,Anthony Perkins,Jean-Pierre Bisson,Marisa Berenson,Charlotte de Turckheim",260.0
 Chip 'n Dale: Rescue Rangers,"4,835.",(1989–1990),23 min,"Animation, Action, Adventure",7.0875,"John Kimball,Bob Zamboni,Alan Zaslove,Corey Burton,Peter Cullen,Jim Cummings,Danny Gans, John Kimball,Bob Zamboni,Alan Zaslove,Corey Burton,Hamilton Camp,Carol Channing,Peter Cullen, John Kimball,Bob Zamboni,Alan Zaslove,Gregg Berger,Corey Burton,Carol Channing,Peter Cullen, John Kimball,Bob Zamboni,Alan Zaslove,Corey Burton,Pat Carroll,Peter Cullen,Jim Cummings, John Kimball,Bob Zamboni,Alan Zaslove,Corey Burton,Peter Cullen,Jim Cummings,Tress MacNeille, John Kimball,Bob Zamboni,Corey Burton,Peter Cullen,Jim Cummings,Tress MacNeille",990.0
 Choujin Sentai Jetman,"4,843.",(1991–1992),Desconhecido,,8.2,,17.0
 Chouju Sentai Liveman,"4,871.",(1988–1989),20 min,"Action, Adventure, Drama",7.2,,10.0
 Chouriki Sentai Ohranger,"4,873.",(1995–1996),Desconhecido,,7.0,,7.0
 City of Justice,"4,874.",(2005– ),Desconhecido,,,,0.0
